,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
249,Mochicahui,75,MX,1514079780,59,25.95,-108.93,66.2,13.87
250,Lukaya,40,UG,1514079000,94,-0.15,31.87,68.0,8.05
251,Kuala Lipis,56,MY,1514082696,95,4.19,102.05,79.51,3.91
252,Carmen,8,PH,1514082696,97,7.2,124.8,83.29,4.03
253,Riom,90,FR,1514080800,81,45.89,3.11,42.8,4.7
254,North Myrtle Beach,90,US,1514081700,100,33.83,-78.68,62.6,17.22
255,Kawambwa,0,ZM,1514082697,100,-9.8,29.07,64.88,2.91
256,Abhar,12,IR,1514082698,31,36.14,49.22,48.28,14.65
257,Riyadh,0,SA,1514080800,43,24.63,46.72,50.0,2.8
258,Lebanon,75,US,1514081700,95,43.64,-72.25,35.6,4.7
259,La Tuque,88,CA,1514082699,87,47.44,-72.79,12.59,3.02
260,Aventura,1,US,1514080560,68,25.96,-80.14,75.2,4.7
261,Macusani,88,PE,1514082700,100,-14.07,-70.43,52.51,1.05
262,Rapid Valley,1,US,1514080560,71,44.06,-103.15,8.6,12.75
263,Novoorsk,75,RU,1514080800,77,51.38,58.98,5.0,6.71
264,Killarney,8,AU,1514082701,63,-28.34,152.3,83.33,3.02
265,Kyaikkami,0,MM,1514082702,59,16.08,97.57,82.84,3.74
266,Chibombo,12,ZM,1514082702,91,-14.68,28.09,66.59,4.25
267,Cilegon,20,ID,1514079000,62,-6.02,106.05,86.0,13.87
268,Kizilskoye,64,RU,1514082703,44,52.73,58.89,-7.53,3.02
269,Kijang,90,KR,1514081400,93,35.24,129.21,51.8,18.34
270,Drabiv,88,UA,1514082704,93,49.96,32.14,27.08,20.36
271,Uige,56,AO,1514082704,90,-7.61,15.06,61.69,1.34
272,Nkongsamba,92,CM,1514082705,92,4.95,9.94,72.98,1.12
273,Kondoa,8,TZ,1514082706,72,-4.91,35.78,58.18,3.13
274,Pacasmayo,88,PE,1514082706,97,-7.4,-79.57,64.88,11.56
275,Aldan,44,RU,1514082706,58,58.61,125.39,-13.06,3.51
276,Crib Point,20,AU,1514082707,97,-38.35,145.2,64.12,13.31
277,Izhmorskiy,88,RU,1514082707,85,56.19,86.64,14.08,7.61
278,Kitgum,0,UG,1514082708,66,3.3,32.88,54.85,3.62
279,Ojinaga,0,US,1514082708,50,29.56,-104.41,33.34,2.57
280,Nemuro,75,JP,1514080800,100,43.32,145.57,32.0,6.93
281,Wewak,32,PG,1514082709,89,-3.55,143.63,81.71,3.4
282,Lebrija,0,ES,1514080800,87,36.92,-6.08,48.2,7.65
283,Hirtshals,48,DK,1514082710,90,57.59,9.96,46.57,22.48
284,San Rafael,0,AR,1514082711,25,-34.61,-68.33,58.58,7.16
285,Srisailam,8,IN,1514082711,92,16.07,78.87,65.56,3.85
286,Cockburn Town,12,TC,1514082712,100,21.46,-71.14,78.34,16.15
287,Ifakara,0,TZ,1514082713,76,-8.13,36.68,74.2,2.57
288,Hare Bay,90,CA,1514080800,79,48.86,-53.99,19.4,10.29
289,Angoram,32,PG,1514082713,70,-4.06,144.07,86.62,2.51
290,Castrillon,0,ES,1514079000,93,43.4,-6.79,44.6,3.36
291,Bekasi,0,ID,1514079000,66,-6.23,106.99,86.0,8.05
292,Laje,92,BR,1514082715,87,-13.18,-39.42,71.18,4.74
293,Iramuco,20,MX,1514079960,48,19.95,-100.92,62.6,2.24
294,Kamenka,76,RU,1514082716,90,53.19,44.05,20.92,9.95
295,Isabela,24,PH,1514082716,88,10.2,122.99,81.71,4.59
296,Saint-Junien,90,FR,1514080800,93,45.89,0.9,46.4,3.36
297,Darlowo,92,PL,1514082717,86,54.42,16.41,45.76,36.46
298,Guanhaes,48,BR,1514082717,98,-18.77,-42.93,64.61,2.35
299,Kanye,0,BW,1514082718,63,-24.98,25.34,55.34,2.84
300,Benguela,20,AO,1514082718,100,-12.58,13.4,71.18,0.78
301,Aurora,1,US,1514080500,79,41.76,-88.32,24.8,4.7
302,Sar-e Pul,0,AF,1514082719,71,36.22,65.93,24.43,2.35
303,Mamallapuram,40,IN,1514080800,83,12.63,80.17,75.2,2.24
304,Kenitra,0,MA,1514080800,93,34.26,-6.57,42.8,3.8
305,Koumac,68,NC,1514082720,72,-20.56,164.28,80.14,1.79
306,Kamphaeng Phet,0,TH,1514082721,62,16.47,99.53,82.16,3.36
307,Midland,1,US,1514080500,20,32.0,-102.08,57.2,6.93
308,Den Helder,90,NL,1514082300,93,52.96,4.76,46.4,19.46
309,Mahasamund,0,IN,1514082722,77,21.11,82.1,63.85,3.06
310,Kozhva,80,RU,1514082723,88,65.11,57.05,20.47,4.81
311,Kazerun,24,IR,1514082723,76,29.62,51.65,48.28,2.24
312,Ereymentau,88,KZ,1514082724,87,51.62,73.1,14.39,7.83
313,Frunze,56,UA,1514082724,84,46.83,29.88,25.42,11.41
314,Pozo Colorado,92,PY,1514082724,99,-23.49,-58.8,73.66,2.84
315,Kikwit,80,CD,1514082725,95,-5.04,18.82,70.33,2.13
316,Shirokiy,92,RU,1514082725,88,53.87,39.17,22.49,19.35
317,Carlsbad,90,CZ,1514080800,93,50.23,12.87,44.6,14.99
318,Nevsehir,90,TR,1514080200,96,38.62,34.71,32.0,8.05
319,Avinurme,20,EE,1514082726,80,58.99,26.87,29.78,22.75
320,Kasempa,80,ZM,1514082727,100,-13.46,25.83,65.78,6.26
321,Saint Augustine,20,TT,1514080800,83,10.65,-61.4,77.0,3.36
322,Culebra,1,US,1514081700,26,34.68,-105.77,44.6,12.75
323,Nioki,68,CD,1514082729,98,-2.72,17.69,73.16,2.06
324,Paracatu,0,BR,1514082729,84,-17.22,-46.87,69.29,2.8
325,Bintulu,75,MY,1514077200,83,3.17,113.03,82.4,5.82
326,Statesville,90,US,1514081100,82,35.78,-80.89,64.4,6.93
327,Goose Creek,90,US,1514081700,86,38.32,-85.65,37.4,4.7
328,Porto Walter,20,BR,1514082731,76,-8.27,-72.74,79.33,3.8
329,Mailsi,0,PK,1514082731,85,29.8,72.18,50.8,2.73
330,Bandiagara,0,ML,1514082732,41,14.35,-3.61,55.88,11.68
331,Lyuban,92,BY,1514082732,96,52.8,28.0,40.9,24.94
332,Kalanwali,44,IN,1514082732,87,29.83,74.98,51.11,2.84
333,Florence,90,US,1514080560,75,34.8,-87.68,44.6,4.7
334,Peterborough,90,CA,1514080800,92,44.3,-78.32,26.6,5.82
335,Salta,40,AR,1514080800,93,-24.79,-65.41,66.2,3.36
336,Mtwara,20,TZ,1514082734,97,-10.28,40.18,83.33,14.58
337,Xifeng,64,CN,1514082734,72,42.73,124.72,15.79,3.8
338,Bowen,40,AU,1514077200,43,-20.01,148.25,87.8,8.05
339,Mwandiga,76,TZ,1514082735,100,-4.84,29.66,70.06,4.41
340,Osuna,0,ES,1514080800,93,37.24,-5.1,42.8,2.24
341,Mae Ramat,0,TH,1514077200,88,16.98,98.52,62.6,2.91
342,Mirzapur,12,IN,1514082736,81,25.15,82.57,58.18,3.13
343,Socorro,92,PH,1514082737,100,13.06,121.41,72.67,1.57
344,Buritizeiro,24,BR,1514082737,77,-17.37,-44.96,74.24,6.53
345,Zhanakorgan,20,KZ,1514082738,89,43.91,67.25,37.93,12.97
346,Concepcion del Uruguay,0,AR,1514082738,84,-32.48,-58.24,58.49,13.58
347,Begun,0,IN,1514082739,79,24.99,75.01,49.9,1.83
348,Karratha,8,AU,1514082739,35,-20.74,116.85,99.26,10.89
349,Palivere,80,EE,1514082739,83,58.97,23.89,34.33,22.08
350,Sretensk,0,RU,1514082740,68,52.24,117.7,-11.04,2.57
351,Nova Olinda do Norte,0,BR,1514082740,96,-3.89,-59.1,76.31,1.39
352,Hope,1,CA,1514080800,62,49.38,-121.43,24.8,16.11
353,Sheoganj,0,IN,1514082742,73,25.14,73.07,53.14,4.14
354,Kankan,0,GN,1514082742,51,10.38,-9.3,58.99,6.82
355,Bougouni,0,ML,1514082742,54,11.42,-7.49,56.2,7.83
356,Wembley,90,GB,1514080200,93,51.55,-0.3,48.2,11.41
357,Kazachinskoye,80,RU,1514082743,82,57.69,93.28,7.87,2.73
358,Port Moresby,0,PG,1514082744,93,-9.47,147.16,85.31,9.66
359,Tres Passos,88,BR,1514082744,99,-27.46,-53.93,70.73,4.29
360,Coahuayana,8,MX,1514082744,72,18.62,-100.35,62.86,2.01
361,Thompson,40,CA,1514080800,66,55.74,-97.86,-31.01,8.05
362,Longyearbyen,20,NO,1514080200,63,78.22,15.63,28.4,13.87
363,Velingrad,80,BG,1514080800,60,42.03,23.99,39.2,12.75
364,Alexandria,90,US,1514081760,81,31.31,-92.44,44.6,4.14
365,Debre Tabor,0,ET,1514082747,38,11.86,38.01,39.37,3.8
366,Hutchinson,1,US,1514080560,73,38.06,-97.93,30.2,8.05
367,Dabhol,0,IN,1514082748,90,17.6,73.17,74.51,4.25
368,Ilinskiy,90,RU,1514080800,86,55.62,38.12,26.6,11.18
369,Wolgast,92,DE,1514082749,87,54.05,13.77,46.39,27.96
370,Libourne,90,FR,1514080800,81,44.91,-0.24,48.2,4.7
371,Payo,0,ID,1514082750,97,-3.75,103.64,82.21,4.29
372,Ambikapur,0,IN,1514082751,80,23.12,83.2,54.53,2.28
373,Gaspar,75,BR,1514080800,88,-26.93,-48.96,77.0,1.9
374,Hagere Hiywet,0,ET,1514082752,72,8.98,37.85,33.29,3.02
375,Majene,8,ID,1514082753,100,-3.54,118.97,81.58,8.16
